date_key,full_date,year,quarter,month,day,weekday
128,2013-02-05,2013,Q1,02,5,Tuesday
129,2014-07-02,2014,Q3,07,2,Wednesday
130,2015-04-09,2015,Q2,04,9,Thursday
131,2013-01-09,2013,Q1,01,9,Wednesday
132,2015-06-15,2015,Q2,06,15,Monday
133,2012-04-11,2012,Q2,04,11,Wednesday
134,2015-09-12,2015,Q3,09,12,Saturday
135,2012-05-07,2012,Q2,05,7,Monday
136,2014-03-20,2014,Q1,03,20,Thursday
137,2014-03-07,2014,Q1,03,7,Friday
138,2012-11-09,2012,Q4,11,9,Friday
139,2015-11-06,2015,Q4,11,6,Friday
140,2012-06-04,2012,Q2,06,4,Monday
141,2015-10-31,2015,Q4,10,31,Saturday
142,2013-01-11,2013,Q1,01,11,Friday
143,2013-12-26,2013,Q4,12,26,Thursday
144,2012-08-07,2012,Q3,08,7,Tuesday
145,2015-07-25,2015,Q3,07,25,Saturday
146,2012-08-31,2012,Q3,08,31,Friday
147,2014-07-18,2014,Q3,07,18,Friday
148,2013-06-03,2013,Q2,06,3,Monday
149,2013-08-20,2013,Q3,08,20,Tuesday
150,2013-04-19,2013,Q2,04,19,Friday
151,2012-05-01,2012,Q2,05,1,Tuesday
152,2013-08-12,2013,Q3,08,12,Monday
153,2015-04-03,2015,Q2,04,3,Friday
154,2014-06-29,2014,Q2,06,29,Sunday
155,2014-02-05,2014,Q1,02,5,Wednesday
156,2012-11-14,2012,Q4,11,14,Wednesday
157,2014-04-16,2014,Q2,04,16,Wednesday
158,2012-04-08,2012,Q2,04,8,Sunday
159,2013-05-04,2013,Q2,05,4,Saturday
160,2013-09-06,2013,Q3,09,6,Friday
161,2012-04-16,2012,Q2,04,16,Monday
162,2014-06-08,2014,Q2,06,8,Sunday
163,2012-02-20,2012,Q1,02,20,Monday
164,2015-09-28,2015,Q3,09,28,Monday
165,2013-08-06,2013,Q3,08,6,Tuesday
166,2014-04-08,2014,Q2,04,8,Tuesday
167,2013-06-30,2013,Q2,06,30,Sunday
168,2014-01-28,2014,Q1,01,28,Tuesday
169,2015-01-28,2015,Q1,01,28,Wednesday
170,2015-12-08,2015,Q4,12,8,Tuesday
171,2014-07-24,2014,Q3,07,24,Thursday
172,2013-03-18,2013,Q1,03,18,Monday
173,2013-07-18,2013,Q3,07,18,Thursday
174,2014-09-06,2014,Q3,09,6,Saturday
175,2012-03-04,2012,Q1,03,4,Sunday
176,2014-07-12,2014,Q3,07,12,Saturday
177,2014-08-05,2014,Q3,08,5,Tuesday
178,2014-09-02,2014,Q3,09,2,Tuesday
179,2012-03-25,2012,Q1,03,25,Sunday
180,2012-05-29,2012,Q2,05,29,Tuesday
181,2015-05-22,2015,Q2,05,22,Friday
182,2013-08-08,2013,Q3,08,8,Thursday
183,2014-10-24,2014,Q4,10,24,Friday
184,2014-02-09,2014,Q1,02,9,Sunday
185,2014-05-02,2014,Q2,05,2,Friday
186,2013-10-18,2013,Q4,10,18,Friday
187,2015-11-27,2015,Q4,11,27,Friday
188,2012-12-22,2012,Q4,12,22,Saturday
189,2012-12-16,2012,Q4,12,16,Sunday
190,2014-03-02,2014,Q1,03,2,Sunday
191,2015-10-13,2015,Q4,10,13,Tuesday
192,2014-10-22,2014,Q4,10,22,Wednesday
193,2015-10-06,2015,Q4,10,6,Tuesday
194,2013-10-24,2013,Q4,10,24,Thursday
195,2014-11-21,2014,Q4,11,21,Friday
196,2014-09-28,2014,Q3,09,28,Sunday
197,2012-02-10,2012,Q1,02,10,Friday
198,2015-12-18,2015,Q4,12,18,Friday
199,2014-04-13,2014,Q2,04,13,Sunday
200,2014-01-14,2014,Q1,01,14,Tuesday
201,2012-06-30,2012,Q2,06,30,Saturday
202,2014-04-26,2014,Q2,04,26,Saturday
203,2013-12-28,2013,Q4,12,28,Saturday
204,2015-03-13,2015,Q1,03,13,Friday
205,2013-05-29,2013,Q2,05,29,Wednesday
206,2012-09-03,2012,Q3,09,3,Monday
207,2014-06-06,2014,Q2,06,6,Friday
208,2014-09-01,2014,Q3,09,1,Monday
209,2012-07-09,2012,Q3,07,9,Monday
210,2013-09-15,2013,Q3,09,15,Sunday
211,2015-11-19,2015,Q4,11,19,Thursday
